sep=;
2018-11-20T13:13:04.000Z;"fui jubilado, salva nois";Documentos para Matrícula;Cancelamento de Matrícula
2018-11-15T13:56:27.820Z;matricula ajuda nois;Alteração de Matrícula;Matrícula em Disciplinas
2018-11-14T18:14:26.600Z;a matricula vai ser quando?;Cancelamento de Matrícula;Calendário
2018-11-14T18:14:06.410Z;onde faco a matricula;Alteração de Matrícula;Matrícula em Disciplinas
2018-11-14T18:13:38.220Z;como faco a matricula ;Alteração de Matrícula;Matrícula em Disciplinas
2018-11-14T18:10:57.260Z;onde encontro o regimento geral;Intercâmbio;Regimento Geral
2018-11-14T17:47:51.350Z;o que e coeficiente de rendimento medio da turma;Turma Especial;Integralização Curricular
2018-11-14T17:09:17.370Z;onde encontro os formulares;Intercâmbio;Formulários
2018-11-14T16:17:20.280Z;qual o limite de trancamentos?;Calendário;Trancamento de Matrícula
2018-11-09T19:33:29.950Z;"eu quero trocar de curso, como faco?";Cancelamento de Matrícula;remanejamento_interno
2018-11-09T19:03:57.770Z;sera que vc entende quando eu pergunto assim sobre a alteracao de matricula?;Calendário;Alteração de Matrícula
2018-11-09T18:54:28.210Z;jubilamento;none;Cancelamento de Matrícula
2018-11-05T20:23:42.550Z;gostaria de entregar uma solicitacao;Acompanhar Protocolo;Agendamento de Atendimento
2018-11-03T13:58:18.540Z;como faco para acompanhar se meu protoclo esta concluido?;Alteração de Senha;Acompanhar Protocolo
2018-11-03T13:54:59.780Z;e possivel fazer aproveitamento de matricula?;Cancelamento de Matrícula;Aproveitamento de Estudos
2018-11-03T13:54:08.590Z;emissao de documentos;Acompanhar Protocolo;Documentos para Matrícula
2018-10-30T00:00:06.630Z;queria saber sobre intercambios;Ementa de Disciplina;Intercâmbio
2018-10-29T23:57:02.050Z;queria saber sobre intercambios;Ementa de Disciplina;Intercâmbio
2018-10-29T23:32:52.560Z;quando e a semana de estudos?;Bolsas;Calendário
2018-10-29T23:32:42.610Z;quando acaba o semestre?;Cancelamento de Matrícula;Calendário
2018-10-29T23:29:01.820Z;alteracao de matricula;Calendário;Alteração de Matrícula
2018-10-29T23:27:15.430Z;mudanca de catalogo;google;Mudança de catálogo
2018-10-27T00:34:01.480Z;alteracao de matricula;Calendário;Alteração de Matrícula
2018-10-27T00:32:16.960Z;alteracao de matricula;Calendário;Alteração de Matrícula
2018-10-27T00:31:34.290Z;alteracao de matricula;Calendário;Alteração de Matrícula
2018-10-26T23:29:01.540Z;jubilamento;none;Cancelamento de Matrícula
2018-10-26T23:28:46.130Z;jubilamento me fala algo;Diploma;Cancelamento de Matrícula
2018-10-26T23:22:06.150Z;quero mudar minhas materias;Código de Disciplina;Alteração de Matrícula
2018-10-26T22:54:46.800Z;como funciona a alteracao de matricula;Calendário;Alteração de Matrícula
2018-10-26T22:52:38.430Z;como funciona a alteracao de matricula;Calendário;Alteração de Matrícula
2018-10-26T22:52:24.460Z;alteracao de matricula;Calendário;Alteração de Matrícula
2018-10-26T22:51:36.130Z;quando e a alteracao de matricula;Calendário;Alteração de Matrícula
2018-10-26T22:32:23.850Z;como funciona o trancamento de matricula;Documentos para Matrícula;Trancamento de Matrícula
